Count,Persistence,Time
531,true,282
532,true,280
533,true,331
534,true,280
535,true,448
536,true,293
537,true,363
538,true,487
539,true,345
540,true,422
541,true,399
542,true,262
543,true,311
544,true,310
545,true,279
546,true,294
547,true,337
548,true,246
549,true,329
550,true,515
551,true,391
552,true,370
553,true,324
554,true,348
555,true,280
556,true,268
557,true,317
558,true,472
559,true,271
560,true,309
561,true,313
562,true,337
563,true,317
564,true,226
565,true,369
566,true,392
567,true,323
568,true,354
569,true,336
570,true,294
571,true,370
572,true,350
573,true,315
574,true,406
575,true,411
576,true,400
577,true,355
578,true,333
579,true,273
580,true,295
581,true,513
582,true,304
583,true,317
584,true,255
585,true,290
586,true,299
587,true,414
588,true,304
589,true,625
590,true,301
591,true,362
592,true,316
593,true,362
594,true,287
595,true,217
596,true,256
597,true,326
598,true,331
599,true,282
600,true,336
601,true,354
602,true,311
603,true,277
604,true,639
605,true,342
606,true,351
607,true,403
608,true,318
609,true,352
610,true,371
611,true,272
612,true,450
613,true,282
614,true,357
615,true,333
616,true,327
617,true,290
618,true,271
619,true,310
620,true,403
621,true,412
622,true,341
623,true,322
624,true,318
625,true,428
626,true,322
627,true,483
628,true,408
629,true,297
630,true,296
631,true,330
632,true,356
633,true,322
634,true,383
635,true,377
636,true,347
637,true,297
638,true,306
639,true,264
640,true,317
641,true,326
642,true,536
643,true,319
644,true,333
645,true,377
646,true,355
647,true,393
648,true,485
649,true,424
650,true,550
651,true,529
652,true,322
653,true,460
654,true,334
655,true,465
656,true,293
657,true,423
658,true,337
659,true,312
660,true,394
661,true,290
662,true,394
663,true,326
664,true,333
665,true,295
666,true,290
667,true,245
668,true,355
669,true,397
670,true,398
671,true,442
672,true,580
673,true,665
674,true,384
675,true,320
676,true,336
677,true,289
678,true,351
679,true,377
680,true,368
681,true,539
682,true,485
683,true,305
684,true,327
685,true,307
686,true,423
687,true,616
688,true,457
689,true,506
690,true,489
691,true,622
692,true,445
693,true,437
694,true,450
695,true,420
696,true,691
697,true,352
698,true,288
699,true,348
700,true,293
701,true,337
702,true,444
703,true,347
704,true,518
705,true,329
706,true,418
707,true,325
708,true,396
709,true,442
710,true,337
711,true,466
712,true,521
713,true,437
714,true,422
715,true,466
716,true,400
717,true,425
718,true,529
719,true,361
720,true,651
721,true,358
722,true,415
723,true,308
724,true,358
725,true,302
726,true,284
727,true,307
728,true,558
729,true,306
730,true,343
731,true,376
732,true,349
733,true,387
734,true,319
735,true,365
736,true,673
737,true,405
738,true,436
739,true,386
740,true,402
741,true,473
742,true,392
743,true,395
744,true,377
745,true,303
746,true,310
747,true,329
748,true,423
749,true,340
750,true,327
751,true,555
752,true,355
753,true,398
754,true,342
755,true,302
756,true,382
757,true,344
758,true,443
759,true,380
760,true,382
761,true,401
762,true,612
763,true,382
764,true,546
765,true,419
766,true,468
767,true,547
768,true,423
769,true,374
770,true,380
771,true,390
772,true,243
773,true,305
774,true,523
775,true,377
776,true,315
777,true,375
778,true,358
779,true,341
780,true,380
781,true,263
782,true,439
783,true,354
784,true,340
785,true,444
786,true,329
787,true,417
788,true,427
789,true,474
790,true,440
791,true,364
792,true,270
793,true,360
794,true,285
795,true,440
796,true,353
797,true,543
798,true,283
799,true,289
800,true,313
801,true,332
802,true,510
803,true,447
804,true,385
805,true,673
806,true,363
807,true,350
808,true,359
809,true,435
810,true,546
811,true,322
812,true,396
813,true,328
814,true,308
815,true,418
816,true,340
817,true,339
818,true,351
819,true,354
820,true,648
821,true,289
822,true,322
823,true,345
824,true,315
825,true,431
826,true,335
827,true,328
828,true,418
829,true,398
830,true,381
831,true,397
832,true,403
833,true,692
834,true,358
835,true,1062
836,true,531
837,true,619
838,true,428
839,true,365
840,true,392
841,true,451
842,true,398
843,true,419
844,true,367
845,true,375
846,true,335
847,true,440
848,true,363
849,true,315
850,true,314
851,true,387
852,true,364
853,true,281
854,true,389
855,true,427
856,true,387
857,true,438
858,true,419
859,true,490
860,true,427
861,true,504
862,true,950
863,true,403
864,true,490
865,true,342
866,true,320
867,true,394
868,true,363
869,true,330
870,true,316
871,true,272
872,true,297
873,true,328
874,true,532
875,true,295
876,true,282
877,true,411
878,true,271
879,true,318
880,true,344
881,true,318
882,true,576
883,true,431
884,true,282
885,true,385
886,true,410
887,true,461
888,true,503
889,true,495
890,true,605
891,true,345
892,true,358
893,true,446
894,true,299
895,true,329
896,true,316
897,true,294
898,true,428
899,true,382
900,true,268
901,true,380
902,true,409
903,true,333
904,true,291
905,true,366
906,true,587
907,true,330
908,true,330
909,true,322
910,true,355
911,true,418
912,true,365
913,true,338
914,true,536
915,true,357
916,true,542
917,true,551
918,true,460
919,true,454
920,true,503
921,true,347
922,true,525
923,true,337
924,true,296
925,true,331
926,true,243
927,true,291
928,true,273
929,true,475
930,true,251
931,true,313
932,true,252
933,true,278
934,true,336
935,true,324
936,true,356
937,true,398
938,true,294
939,true,301
940,true,269
941,true,344
942,true,360
943,true,415
944,true,396
945,true,331
946,true,453
947,true,360
948,true,379
949,true,374
950,true,348
951,true,539
952,true,700
953,true,370
954,true,357
955,true,289
956,true,351
957,true,395
958,true,268
959,true,330
960,true,467
961,true,275
962,true,309
963,true,346
964,true,302
965,true,265
966,true,293
967,true,332
968,true,416
969,true,313
970,true,262
971,true,231
972,true,400
973,true,331
974,true,323
975,true,352
976,true,563
977,true,358
978,true,434
979,true,518
980,true,506
981,true,404
982,true,394
983,true,380
984,true,524
985,true,298
986,true,277
987,true,326
988,true,279
989,true,316
990,true,300
991,true,271
992,true,343
993,true,306
994,true,323
995,true,277
996,true,349
997,true,361
998,true,434
999,true,636
