Count,Time
907,1423
908,1480
909,1699
910,1414
911,1571
912,1403
913,1429
914,1388
915,1618
916,1459
917,1434
918,1459
919,1483
920,1617
921,1439
922,1596
923,1425
924,1554
925,1530
926,1477
927,1451
928,1418
929,1419
930,1580
931,1511
932,1541
933,1380
934,1503
935,1429
936,1384
937,1492
938,1576
939,1620
940,1540
941,1397
942,1508
943,1493
944,1370
945,1474
946,1474
947,1374
948,1426
949,1471
950,1573
951,1544
952,1444
953,1464
954,1424
955,1484
956,1434
957,1514
958,1426
959,1344
960,1493
961,1505
962,1365
963,1526
964,1357
965,1527
966,1346
967,1464
968,1542
969,1433
970,1458
971,1608
972,1533
973,1498
974,1371
975,1507
976,1436
977,1458
978,1492
979,1394
980,1553
981,1528
982,1594
983,1410
984,1492
985,1290
986,1392
987,1485
988,1496
989,1579
990,1508
991,1455
992,1381
993,1554
994,1525
995,1352
996,1515
997,1373
998,1454
999,1452
