Count,Integrity,Time
531,true,356
532,true,330
533,true,318
534,true,309
535,true,339
536,true,303
537,true,438
538,true,342
539,true,325
540,true,311
541,true,326
542,true,411
543,true,378
544,true,293
545,true,320
546,true,324
547,true,490
548,true,350
549,true,311
550,true,366
551,true,281
552,true,392
553,true,316
554,true,356
555,true,269
556,true,513
557,true,299
558,true,341
559,true,384
560,true,309
561,true,302
562,true,458
563,true,378
564,true,388
565,true,279
566,true,370
567,true,320
568,true,376
569,true,322
570,true,410
571,true,401
572,true,289
573,true,375
574,true,396
575,true,350
576,true,335
577,true,326
578,true,354
579,true,322
580,true,453
581,true,470
582,true,404
583,true,277
584,true,324
585,true,318
586,true,327
587,true,319
588,true,396
589,true,258
590,true,297
591,true,355
592,true,375
593,true,300
594,true,406
595,true,312
596,true,325
597,true,439
598,true,336
599,true,395
600,true,405
601,true,340
602,true,336
603,true,370
604,true,286
605,true,433
606,true,526
607,true,289
608,true,339
609,true,274
610,true,257
611,true,305
612,true,240
613,true,464
614,true,328
615,true,356
616,true,304
617,true,327
618,true,337
619,true,356
620,true,318
621,true,355
622,true,303
623,true,261
624,true,423
625,true,330
626,true,341
627,true,373
628,true,304
629,true,257
630,true,282
631,true,398
632,true,398
633,true,372
634,true,285
635,true,239
636,true,309
637,true,374
638,true,424
639,true,276
640,true,345
641,true,274
642,true,329
643,true,385
644,true,333
645,true,433
646,true,383
647,true,322
648,true,296
649,true,316
650,true,433
651,true,306
652,true,406
653,true,325
654,true,279
655,true,378
656,true,315
657,true,365
658,true,284
659,true,337
660,true,373
661,true,309
662,true,316
663,true,527
664,true,314
665,true,398
666,true,281
667,true,293
668,true,323
669,true,294
670,true,408
671,true,330
672,true,264
673,true,304
674,true,323
675,true,336
676,true,234
677,true,441
678,true,393
679,true,307
680,true,286
681,true,282
682,true,319
683,true,271
684,true,471
685,true,286
686,true,358
687,true,337
688,true,414
689,true,303
690,true,325
691,true,385
692,true,328
693,true,335
694,true,379
695,true,314
696,true,265
697,true,313
698,true,287
699,true,403
700,true,356
701,true,327
702,true,426
703,true,257
704,true,293
705,true,269
706,true,355
707,true,296
708,true,328
709,true,394
710,true,269
711,true,301
712,true,268
713,true,344
714,true,366
715,true,322
716,true,417
717,true,367
718,true,299
719,true,318
720,true,280
721,true,311
722,true,371
723,true,348
724,true,329
725,true,324
726,true,339
727,true,420
728,true,326
729,true,350
730,true,293
731,true,323
732,true,389
733,true,317
734,true,351
735,true,326
736,true,316
737,true,286
738,true,320
739,true,309
740,true,341
741,true,575
742,true,353
743,true,310
744,true,332
745,true,354
746,true,274
747,true,310
748,true,428
749,true,335
750,true,359
751,true,277
752,true,345
753,true,377
754,true,304
755,true,411
756,true,313
757,true,263
758,true,293
759,true,304
760,true,395
761,true,343
762,true,341
763,true,312
764,true,317
765,true,311
766,true,377
767,true,331
